Month,Rabbit Pop,Coyote Pop,Grass Height,Temp,Precip
1,8,1,32.004238,44.150917,13.099504
2,9,1,24.613361,64.686157,15.800935
3,10,1,30.157722,70.483139,13.991038
4,11,1,26.822052,64.760849,16.558989
5,11,2,30.755318,87.076103,13.400596
6,12,3,18.768368,78.894089,12.298141
7,13,4,6.315483,67.868835,10.114184
8,12,5,2.574065,57.477440,8.930931
9,12,6,5.088512,51.935703,8.689497
10,10,5,5.088512,51.935703,8.689497
11,8,4,5.125379,54.022079,8.347574
12,6,3,0.000000,41.513885,11.072404
13,6,2,0.000000,55.847168,12.880035
14,5,1,11.622030,61.673569,17.273584
15,4,0,25.093346,64.516602,14.078132
16,5,0,37.401649,83.677086,13.615446
17,5,0,32.475052,86.457970,11.612131
18,6,0,26.492275,85.331757,11.882314
19,8,0,18.523514,83.857948,7.905196
20,10,0,10.570040,65.171577,7.905196
21,10,0,11.269218,64.243446,7.939378
22,11,1,11.838490,37.773705,11.067900
23,11,2,0.969783,38.486183,11.687407
24,10,3,0.000000,31.214870,11.960240
25,10,2,0.000000,45.232647,13.220268
26,9,1,0.000000,53.131821,17.048880
27,8,1,3.370893,61.504436,16.977840
28,7,1,13.264145,80.712006,14.776989
29,7,1,6.536629,76.699486,13.446658
30,8,1,0.000000,69.803802,12.209171
31,7,1,0.407672,71.257988,10.396009
32,6,1,0.000000,60.673920,9.575565
33,6,1,10.369738,63.844002,9.245401
34,5,0,19.131676,49.474617,10.512314
35,6,0,18.980589,49.904072,11.786424
36,8,0,19.852592,32.156509,13.182705
37,8,0,11.861128,55.001575,14.500688
38,10,0,17.400593,53.199158,15.390171
39,12,0,17.753506,71.914932,14.823952
40,14,1,10.556728,78.666359,14.554878
41,14,2,0.000000,71.652328,11.930929
42,13,3,0.000000,75.510269,9.943930
43,12,4,0.000000,71.682816,10.401731
44,11,5,0.000000,61.471104,9.237215
45,11,6,4.599667,50.490303,10.121693
46,9,5,2.565214,48.515213,9.575216
47,7,4,0.000000,40.871086,12.301239
48,5,3,0.000000,34.670341,11.179200
49,5,2,0.000000,50.457970,13.620072
50,3,1,5.034826,50.687569,16.945089
51,2,0,10.739161,59.471390,15.100583
52,3,0,10.739161,59.471390,15.100583
53,3,0,40.289070,77.656845,11.499056
54,4,0,37.120625,83.029419,12.804527
55,5,0,32.218693,82.003906,7.716108
56,6,0,27.325058,75.132378,6.248190
57,6,0,22.435699,47.784912,8.228197
58,8,0,17.659340,48.684654,11.128157
59,10,0,12.777969,42.244141,11.686846
60,12,0,3.588165,42.244141,11.686846
61,12,1,3.588165,44.181053,12.483462
62,12,1,2.079576,54.152061,14.949904
63,11,3,8.982252,59.356155,15.750965
64,10,3,17.298143,59.356155,15.750965
65,10,3,17.298143,80.273705,13.475185
66,11,4,7.625320,79.604477,14.287746
67,9,4,0.000000,70.601883,10.883221
68,8,2,5.033164,61.066406,8.879217
69,8,2,5.033164,61.066406,8.879217
70,7,1,12.245945,46.144287,9.421177
71,8,1,0.000000,40.713356,8.412601
72,7,1,0.000000,40.532562,10.389442
